町名,世帯数(総数),世帯数(前回増減数),人口(総数),人口(前回増減数),人口(男),人口(女)
入舟町,330,-47,663,-126,282,381
船見町,456,-66,982,-214,443,539
弥生町,616,-44,1258,-132,543,715
弁天町,532,-40,1019,-110,471,548
大町,285,-22,591,-51,293,298
末広町,560,-17,957,-84,422,535
元町,559,-34,1187,-126,486,701
青柳町,898,1,1764,-70,801,963
谷地頭町,584,-64,1406,-112,597,809
住吉町,365,-17,801,-225,352,449
宝来町,678,-55,1542,-97,638,904
東川町,563,-57,1115,-137,494,621
豊川町,468,-29,879,-92,379,500
大手町,389,-59,650,-122,298,352
栄町,585,-32,1125,-80,486,639
旭町,347,-41,634,-83,248,386
東雲町,234,-8,483,-65,199,284
大森町,807,-28,1540,-27,716,824
松風町,228,-9,545,40,189,356
若松町,585,-90,1177,-144,518,659
千歳町,499,-22,833,-90,365,468
新川町,638,-98,1093,-193,473,620
上新川町,336,-38,614,-89,257,357
海岸町,609,-31,1203,-30,549,654
大縄町,735,-78,1334,-216,574,760
松川町,1123,-66,2250,-178,992,1258
万代町,643,16,1212,12,543,669
浅野町,0,-,0,-,0,0
吉川町,293,17,746,51,301,445
北浜町,438,-30,828,-46,395,433
港町１丁目,1364,-,2700,-160,1344,1356
港町２丁目,694,23,1321,-39,629,692
港町３丁目,1048,-20,1626,-97,820,806
追分町,461,132,1046,253,514,532
亀田町,777,-16,1553,-29,721,832
大川町,1012,-27,2086,-156,888,1198
田家町,1395,5,2656,-137,1129,1527
白鳥町,1033,14,1749,-128,801,948
八幡町,882,-34,1745,-97,845,900
宮前町,1123,-3,2059,35,883,1176
中島町,1196,-75,2565,-255,1083,1482
千代台町,1065,-77,1892,-155,842,1050
堀川町,1027,-39,1982,-137,863,1119
高盛町,809,-39,1606,-130,716,890
宇賀浦町,456,-33,856,-60,392,464
日乃出町,641,-30,1366,83,653,713
的場町,1018,-70,2090,-190,923,1167
時任町,1057,-58,2019,-195,870,1149
杉並町,698,-10,1392,-4,538,854
本町,1035,-63,1646,-166,663,983
梁川町,892,241,1573,380,730,843
五稜郭町,969,-19,1587,-97,720,867
柳町,388,23,729,23,319,410
松陰町,1222,-22,2445,-136,1038,1407
人見町,1032,-6,2015,-150,885,1130
金堀町,370,-27,1253,-383,895,358
乃木町,679,-81,1386,-162,683,703
柏木町,1770,-6,3408,-45,1472,1936
川原町,865,-60,1583,-148,686,897
本庁管内計,42361,-1465,82365,-5318,36849,45516
深堀町,2473,-91,4829,-400,2006,2823
駒場町,772,20,1905,24,774,1131
広野町,323,-86,850,-251,531,319
湯浜町,1225,-34,2252,-199,960,1292
湯川町１丁目,955,-76,2090,-243,889,1201
湯川町２丁目,1176,-60,2366,-59,999,1367
湯川町３丁目,1195,20,2327,-47,955,1372
戸倉町,687,21,1814,108,949,865
榎本町,627,-9,1335,-86,614,721
花園町,1578,-157,3047,-286,1298,1749
日吉町１丁目,801,-18,2188,-122,1246,942
日吉町２丁目,1220,-34,2930,-83,1321,1609
日吉町３丁目,1490,47,3095,53,1329,1766
日吉町４丁目,833,-122,2069,-279,917,1152
上野町,1112,-33,2339,-113,1094,1245
高丘町,1084,-67,2803,-159,1227,1576
滝沢町,189,-18,427,-50,197,230
見晴町,169,10,404,-29,177,227
鈴蘭丘町,23,3,96,-9,50,46
上湯川町,1797,-188,3532,-672,1599,1933
銅山町,7,-1,93,3,19,74
旭岡町,80,5,289,-5,98,191
西旭岡町１丁目,553,-43,1208,-196,552,656
西旭岡町２丁目,809,-31,1835,-235,824,1011
西旭岡町３丁目,505,-3,1346,-131,571,775
鱒川町※,28,-10,62,-17,25,37
寅沢町,0,-,0,-,0,0
三森町,0,-,0,-,0,0
紅葉山町※,X,X,X,X,X,X
庵原町,53,-8,144,-19,67,77
亀尾町,44,-5,105,-22,48,57
米原町,55,-3,134,-31,68,66
東畑町,26,-1,72,-6,37,35
鉄山町,14,-3,26,-8,14,12
蛾眉野町,24,-2,48,-12,25,23
湯川支所管内,21927,-977,48060,-3581,21480,26580
根崎町,236,-30,560,-76,240,320
高松町,876,29,2076,-120,955,1121
志海苔町,158,-,380,-26,176,204
瀬戸川町,86,8,188,-16,81,107
赤坂町,48,7,132,6,65,67
銭亀町,586,-13,1486,-138,706,780
中野町,9,-2,123,26,26,97
新湊町,144,-12,454,-53,203,251
石倉町,9,-2,27,-3,13,14
古川町,230,-32,609,-93,268,341
豊原町,31,-6,82,-18,40,42
石崎町,232,-29,571,-130,259,312
鶴野町,37,-6,89,-17,40,49
白石町,36,-5,93,-23,47,46
銭亀沢支所管内,2718,-93,6870,-681,3119,3751
富岡町１丁目,2003,-18,4114,-229,1797,2317
富岡町２丁目,2394,-94,4721,-192,2116,2605
富岡町３丁目,1479,36,2885,31,1285,1600
中道１丁目,1095,-51,2184,-182,993,1191
中道２丁目,1857,-53,3692,-364,1674,2018
山の手１丁目,687,-26,1587,-104,719,868
山の手２丁目,1098,21,2584,-155,1128,1456
山の手３丁目,1254,-57,3006,-218,1356,1650
本通１丁目,1851,-28,3632,-169,1666,1966
本通２丁目,1278,-25,2776,-90,1252,1524
本通３丁目,533,37,1195,22,538,657
本通４丁目,797,-74,1803,-174,800,1003
鍛治１丁目,1250,-2,2672,-55,1203,1469
鍛治２丁目,1246,18,2783,-2,1203,1580
陣川町,1239,4,3264,-172,1521,1743
神山町,168,83,477,248,226,251
神山１丁目,512,8,1254,6,554,700
神山２丁目,179,-12,355,-37,149,206
神山３丁目,1291,-39,3045,-177,1369,1676
東山町,474,-29,1243,-141,579,664
東山１丁目,469,2,1123,-35,516,607
東山２丁目,1104,26,2482,-53,1087,1395
東山３丁目,625,-1,1508,-75,698,810
美原１丁目,1091,53,2001,-59,954,1047
美原２丁目,1596,80,3091,-,1407,1684
美原３丁目,1775,66,3587,79,1682,1905
美原４丁目,1205,-54,2474,-181,1149,1325
美原５丁目,984,13,2209,-9,978,1231
赤川町,730,-38,1676,-167,778,898
赤川１丁目,878,-14,1846,-116,877,969
亀田中野町,220,17,601,-68,302,299
水元町,-,-,-,-,-,-
亀田大森町,-,-,-,-,-,-
石川町,1621,269,4834,577,2212,2622
桔梗１丁目,446,14,1393,286,589,804
桔梗２丁目,653,34,1622,56,763,859
桔梗３丁目,689,16,1666,59,759,907
桔梗４丁目,768,29,1791,-41,834,957
桔梗５丁目,829,52,2211,-13,1075,1136
桔梗町,1696,228,4752,628,2207,2545
西桔梗町,1247,113,2982,220,1441,1541
昭和町,359,67,854,198,429,425
昭和１丁目,810,23,1920,34,848,1072
昭和２丁目,1279,-22,2741,-139,1296,1445
昭和３丁目,1102,31,2346,-84,1080,1266
昭和４丁目,1641,115,3552,117,1721,1831
亀田本町,1573,-48,3187,-310,1418,1769
亀田港町,1964,-18,4120,-41,1888,2232
陣川１丁目,288,-1,683,-60,307,376
陣川２丁目,241,-3,588,-52,275,313
北美原１丁目,519,39,1213,-21,572,641
北美原２丁目,615,-15,1405,-132,650,755
北美原３丁目,469,10,1132,-64,522,610
亀田支所管内,52171,782,116862,-1620,53442,63420
小安町,303,-22,791,-93,360,431
釜谷町,184,-17,510,-80,229,281
汐首町,80,-6,200,-35,98,102
瀬田来町,76,-15,240,-55,111,129
弁才町,55,-6,131,-35,50,81
泊町,21,-2,46,-10,17,29
館町,42,-4,92,-11,42,50
浜町,224,-18,491,-83,226,265
新二見町,24,-,52,-14,27,25
原木町,58,-6,124,-35,59,65
丸山町,-,-,-,-,-,-
小安山町,-,-,-,-,-,-
戸井支所管内,1067,-96,2677,-451,1219,1458
日浦町,86,-8,197,-44,91,106
豊浦町,79,-14,206,-34,105,101
大澗町,129,-20,339,-65,165,174
中浜町,101,-11,248,-35,117,131
川上町,70,13,169,49,77,92
女那川町,150,-38,309,-136,144,165
高岱町※,39,-35,81,-103,38,43
日ノ浜町,183,18,370,-11,163,207
古武井町,71,-11,164,-41,76,88
柏野町,100,-6,267,-21,105,162
恵山町,237,-7,534,-35,259,275
御崎町,44,-27,113,-84,53,60
日和山町,-,-,-,-,-,-
吉畑町,-,-,-,-,-,-
恵山支所管内,1289,-146,2997,-560,1393,1604
絵紙山町※,X,X,X,X,X,X
銚子町,89,-10,220,-51,98,122
新浜町,131,-20,312,-64,134,178
新八幡町,66,-5,145,-17,70,75
島泊町,29,-4,57,-7,22,35
富浦町,34,-6,79,-19,34,45
元村町,27,-4,60,-17,26,34
恵山岬町,12,-,19,-7,9,10
新恵山町,6,-,14,-3,10,4
椴法華支所管内,394,-49,906,-185,403,503
古部町,57,-5,118,-24,59,59
木直町,233,-30,657,-131,306,351
尾札部町,491,-60,1313,-187,640,673
川汲町,439,-25,1082,-112,478,604
安浦町,148,-8,367,-32,153,214
臼尻町,277,-25,666,-103,322,344
豊崎町,122,-20,315,-53,152,163
大船町,149,-3,410,-47,205,205
双見町,55,-5,160,-36,76,84
岩戸町,52,-5,154,-27,80,74
南茅部支所管内,2023,-186,5242,-752,2471,2771
全市計,123950,-2230,265979,-13148,120376,145603